City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,likasi,-10.9814,26.7333,292.41,91,95,0.77,CD,1707371060
84,ntungamo,-0.8833,29.65,297.61,55,19,0.1,UG,1707371060
85,merizo village,13.2658,144.6691,301.7,75,93,6.39,GU,1707371060
86,yellowknife,62.456,-114.3525,256.49,84,75,2.57,CA,1707370832
87,utrik,11.2278,169.8474,299.54,85,93,9.34,MH,1707371060
88,cill airne,52.05,-9.5167,280.34,97,100,3.36,IE,1707370932
89,bulawayo,-20.15,28.5833,298.78,47,6,2.38,ZW,1707371061
90,glace bay,46.1969,-59.957,271.01,89,100,5.66,CA,1707371061
91,mustafakemalpasa,40.0353,28.4117,283.18,77,100,2.92,TR,1707371061
92,guerrero negro,27.9769,-114.0611,287.8,66,2,3.43,MX,1707371061
93,la'ie,21.6477,-157.9253,296.15,74,8,5.81,US,1707371061
94,nova sintra,14.8667,-24.7167,294.05,75,0,7.95,CV,1707371061
95,aksu,41.1231,80.2644,272.12,54,39,0.39,CN,1707371062
96,kingston,17.997,-76.7936,294.28,69,20,4.12,JM,1707370829
97,okhotsk,59.3833,143.3,253.15,84,86,3.24,RU,1707371062
98,jaral del progreso,20.3667,-101.0667,287.21,52,53,1.6,MX,1707371062
99,pirawa,24.1551,76.0273,293.67,27,92,4.39,IN,1707371062
100,luganville,-15.5333,167.1667,301.85,78,91,1.63,VU,1707371062
101,khouribga,32.9333,-6.6,283.12,37,67,2.68,MA,1707371062
102,tolanaro,-25.0319,46.9987,300.75,72,5,1.84,MG,1707370955
103,karema,-6.8205,30.4389,296.52,82,22,1.05,TZ,1707371062
104,bharatpur,27.2167,77.4833,290.1,25,15,6.89,IN,1707371063
105,stanley,54.868,-1.6985,270.63,92,99,1.71,GB,1707370906
106,prado,-17.3411,-39.2208,298.4,87,100,1.66,BR,1707371063
107,balkanabat,39.5108,54.3671,288.02,34,8,2.59,TM,1707371063
108,mount isa,-20.7333,139.5,304.02,48,100,3.09,AU,1707370769
109,kruisfontein,-34.0033,24.7314,293.64,68,37,4.66,ZA,1707371063
110,tura,25.5198,90.2201,295.34,22,2,2.64,IN,1707371063
111,novodvinsk,64.4165,40.8122,249.14,98,98,3.2,RU,1707371063
112,greymouth,-42.4667,171.2,289.34,68,72,5.34,NZ,1707371064
113,tataouine,32.9297,10.4518,283.97,44,1,2.96,TN,1707371064
114,hadibu,12.65,54.0333,299.82,66,99,6.58,YE,1707371064
115,mabaruma,8.2,-59.7833,297.53,89,24,2.33,GY,1707371064
116,longyearbyen,78.2186,15.6401,265.06,67,40,5.14,SJ,1707371064
117,mount gambier,-37.8333,140.7667,293.73,49,0,5.46,AU,1707370800
118,avarua,-21.2078,-159.775,300.18,78,20,7.2,CK,1707371064
119,poli,-3.3333,36.8,288.58,88,40,2.06,TZ,1707371064
120,egilsstadir,65.2653,-14.3948,268.1,68,75,2.06,IS,1707371065
121,bani walid,31.7566,13.9942,285.0,41,0,3.35,LY,1707371065
122,puerto aysen,-45.4,-72.7,282.84,95,100,2.29,CL,1707371065
123,kargasok,59.0556,80.8572,266.46,97,100,3.13,RU,1707371065
124,polyarnyy,69.1989,33.4478,249.87,100,89,3.6,RU,1707371065
125,jamestown,42.097,-79.2353,273.9,66,0,1.54,US,1707371058
126,enewetak,11.3474,162.3373,299.87,82,100,7.54,MH,1707371065
127,mamontovo,52.7055,81.6244,270.39,92,95,5.73,RU,1707371065
128,kamyzyak,46.11,48.0736,282.05,61,0,9.0,RU,1707371065
129,bodaybo,57.8506,114.1933,263.93,90,100,0.54,RU,1707371066
130,kailua-kona,19.6406,-155.9956,295.92,81,75,2.06,US,1707371066
131,petropavlovsk-kamchatsky,53.0452,158.6483,265.62,80,75,1.0,RU,1707370963
132,yanaul,56.2719,54.9309,262.77,94,100,3.58,RU,1707371066
133,el charco,2.4769,-78.1105,297.42,95,64,1.22,CO,1707371066
134,pacific grove,36.6177,-121.9166,281.58,76,75,6.17,US,1707371066
